# lang=ro
cat	floor (storey)
răpega	to slip, slide, fall
mușchios	muscular
mușchios	mossy
natură	nature
luciu	brilliance, splendor, magnificence, glory
nerușinat	shameless, impudent, boldfaced, brassy, insolent
urare	felicitation, congratulation, well-wishing, bidding
făgădui	to pledge, vow, promise
făgădui	to receive someone
făgăduință	promise, vow, pledge
acoperit	covered
razna	astray
subscriptor	subscriber
prânzi	to lunch, lunch on, eat lunch, dine
năsos	big-nosed, conky
aloca	to allocate, to allot
taciturnitate	taciturnity
vetust	outdated, obsolete
barbură	the holiday of St. Barbara's day, during which children are anointed with honey, sugar, or the juice of the guelder rose
barbură	the guelder rose ()
călin	guelder rose ()
introductor	introducer
interlobar	interlobular
înclina	to incline (all senses)
înclina	to bow, bend
înclina	to tilt
aplicație	application
aplicație	application
aplicație	applique
aplecăciune	inclination, tendency
aplecăciune	attraction
aplecăciune	predisposition
înțărca	to wean
alăpta	to suckle, breastfeed, nurse
implicație	implication
hevea	rubber tree
bălai	blond
șoricar	buzzard ()
șoricar	ratter, type of hunting dog that catches mice
sorocină	yarrow ()
coada șoricelului	yarrow ()
deformat	deformed
deformant	distorting deforming
deformator	deforming
graminee	grasses
osteogen	osteogenic
pisolitic	pisolith
wolframic	, tungstic
autocrator	autocrat
ascensional	upward
kainit	kainite
saborda	to scuttle (a ship)
rebuta	to reject; turn down
substitut	substitute
decalog	decalogue
compensat	compensated
hercule	hercules; Hercules
dogmatician	dogmatist
din când în când	from time to time
obligatoriu	obligatory, compulsory, mandatory, required
obligație	obligation
dictatorie	dictatorship
modelat	modeled
admirat	admired
infiltrat	infiltrate
guverna	to govern
guvern	government
cuvios	pious, devout
cuceritor	conqueror, victor
cuceritor	conquering, winning, victorious
cucerire	conquest
înrudi	to be or become related to
biv	ex-, former
pătrar	quarter, fourth
pătrar	quarter
pătrime	quarter, fourth
pătrare	an old unit of measurement for cereals
mirobolant	extraordinary, incredible, magnificent
rapel	revaccination, a second vaccine dose
zemos	juicy, succulent
greva	to put a mortgage on a property
variolic	variolous
pentru că	because
întrucât	because, seeing that
printre	among
printre	amidst, amongst
odometric	odometrical
presăra	to scatter, strew, bestrew, sprinkle
prelinge	to trickle, drip
prelinge	to ooze out
previnge	to defeat, triumph over, win, vanquish, conquer
izgoni	to chase away, chase off, drive away, banish, expel
fugări	to chase off, drive away
fugări	to chase, pursue
scăpare	escape
scăpare	rescue, liberation, salvation
temă	theme, subject, topic
temă	piece of homework
obscenitate	obscenity
nart	maximum value for the tax on products
gripal	influenzal
cretă	chalk
fungic	fungal
aievea	really
aievea	real, concrete, palpable
aidoma	the same as, identical to
aidoma	really
la fel	the same (as), identical (to)
tocmai	just, precisely, exactly
tocmai	only, just
lecție	lesson
înveghea	to do or endeavor with diligence or effort
înveghea	to take into consideration
înveghea	to come to reason
cuminți	to settle down
cuminți	to come to reason
untos	buttery
spurcat	filthy, dirty, foul
spurcat	soiled
postdiluvian	post-flood
docilitate	docility
instrumentist	instrumentalist
cuprins	contained
cuprins	hugged
elipsoidal	ellipsoidal
zbea	to drink
isteț	smart, cunning, sharp, clever, canny
fremăta	to rustle
fremăta	to murmur
fremăta	to be seized by emotion; also to shiver, shudder, shake, tremble
necheza	to neigh
necheza	to laugh with a sound like a neigh
măcar	at least
măcar	not even
cel puțin	at least
iacă	look, see
iacă	well, now, why
iată	look!, see!, behold!
iată	suddenly, unexpectedly, without warning.
epistolar	epistolary
lăcrimioară	small tear
lăcrimioară	lily of the valley ()
dizolva	to dissolve
cădere	fall, tumble
decădere	decline, degradation, decay
decădere	moral decline
rapacitate	rapacity
firesc	natural
firesc	normal
firesc	naturalness
firetic	of an angry disposition, choleric, furious
argentan	nickel silver
rezolva	to resolve
rezolva	(+ cu) to take care of
intui	to intuit
pricepere	ability, capability, competence, proficiency, adeptness, skill
pricepere	understanding, discernment
înțelegere	understanding
înțelegere	agreement
înțelegere	insight
frânt	broken, fractured
frânt	extremely tired, weakened
stricat	broken, ruined
vechime	oldness, antiquity, ancientness
vechime	old age
bătrânețe	old age
învechi	to wear out, degrade
învechi	to become old, obsolete, antiquated
răspândi	to scatter, strew, spread
răspândi	to radiate, disperse, propagate, diffuse
răspândi	to circulate, put into circulation, distribute
risipi	to strew, scatter, disperse
risipi	to dispel, dissipate
risipi	to waste
furunculos	furuncular
ingurgitat	swallowed
descrește	to decrease, lessen, diminish
creștet	the crown of the head
creștet	top, summit, highest point of something
strachină	tureen, basin, bowl (ceramic, clay, etc.)
blid	dish, bowl, container or receptacle for food
lighean	bowl or basin for washing
găvan	eye socket
găvan	cavity
găvan	wooden bowl
căuș	scoop
căuș	ladle
căuș	dipper
găoace	crust, bark, peel
găoace	shell of an egg
găoace	cavity, hole, empty space
găuri	to drill, bore, perforate, pierce make a hole
adânci	to deepen
adânci	to aggravate
adânci	to plunge
zgăura	to ogle, stare at intensely
zgăura	to plunge back deeper into the head
zgâi	to goggle, ogle, stare at intensely and with wide eyes
zgâi	to scold, to harass, to come at
bulbuc	bubble
găun	hollow, hole, cavity
bărzăun	European hornet ()
bărzăun	bumblebee
crescător	breeder
crescător	grower
crescător	foster parent, adoptive parent
căpețea	the part of the bridle that goes over the horse's head
zăbală	bit (for a horse)
căpetenie	commander, head, chief
stei	with white spots on the head
stei	a sharp corner of a stone
stei	a boulder or large stone, or salt rock
înstela	to become covered in stars
înstelat	starry, starlit
ceresc	skyey
ceresc	celestial, heavenly
ceresc	divine
tramvai	tram, streetcar
luntri	to row a boat
fragilitate	fragility
comitere	perpetration
consiliere	counseling
genealogic	genealogical
ibric	ibrik
ibric	coffee pot
ibric	kettle
sufruncea	eyelash
sufruncea	eyebrow
cunoștințe	an acquaintance, someone known
cunoaștere	cognition
cunoaștere	knowledge, familiarity, experience
cunoscător	one who knows
cunoscător	an expert, connoisseur
cunoscător	versed, experienced
ocol	detour, roundabout way
ocol	circuit
ocol	enclosure, pen
înconjur	detour
poală	foot (of a mountain)
fustă	skirt
rochie	dress
împrejur	around
împrejura	to encircle, enclose, surround
împrejurare	circumstance, situation, occurrence
epistoler	epistolary
experimentator	experimenter
dascăl	teacher, professor
dascăl	scholar
dascăl	cantor, leader of a choir; psalm reader or singer in a church
ctitor	founder (especially of a church)
ctitor	benefactor
fondator	founder
fondator	founding
mutilat	maimed
împrejmui	to surround, encircle, enclose, enmesh
preajmă	surroundings
preajmă	vicinity, nearness
încercui	to encircle, surround
încercui	to round up
încercui	to besiege
cotropi	to cover, stop up
cotropi	to occupy (through violence)
cotropi	to invade, conquer, overrun
copleși	to overwhelm
copleși	to weigh down, suffocate
comânji	to dirty, soil
murdări	to dirty, make dirty, taint, soil, defile
murdări	to stain
mânji	to dirty, soil, sully, taint, begrime, tarnish
mâzgăli	to scribble, scrawl
mâzgăli	to smear
mâzgăli	to daub
înseta	to be thirsty
scorbură	a hollow (sunken area in something solid, such as in the trunk of a tree)
scorbură	hole, cavity
utopist	utopian
zdrobi	to split, break into pieces, rive
zdrobi	to quash, crush, defeat, destroy, break, overwhelm
zăpăci	to bewilder, astound, confuse, befuddle, fluster
zăpăci	to be at a loss; become flustered
uliu	goshawk ()
uliu	Eurasian sparrowhawk ()
uliu	common buzzard ()
stupi	to spit
cauc	ladle
cauc	a type of hat worn typically by Orthodox priests
linguroi	ladle
-ior	Forms diminutives of nouns.
perișoară	a type of minced meatballs used in soup
spân	hairless, glabrous
spân	unable to grow facial hair
înăuntru	inside, within, in
furios	furious
întărâta	to incite, stir, provoke, stimulate
îmboldi	to goad, spur, urge
-le	: the
înfierbânta	to heat, make hotter
înfierbânta	to spark or light up
înfierbânta	to provoke, incite
înflăcăra	to heat, fire up, light up
înflăcăra	to get red hot
înflăcăra	to get heated, excited
fierbințeală	(extreme) heat
fierbințeală	fever
fierbincior	rather hot
înfierbăza	to heat
înfoca	to heat (until red-hot)
înfoca	to light, spark up
înfoca	to excite, stimulate, heat up, agitate
înfocat	passionate, ardent, fiery, eager, fervent, enthusiastic
înfocat	red-hot, heated, incandescent, bright
înfocare	passion, ardor, enthusiasm
pripi	to hurry, rush
pripi	to be rash
pripi	to burn, heat, bake
da foc	to set on fire, light on fire
astfel	thus, in this way, so, like that
lancinant	throbbing
atrabiliar	spleenful
înfia	to adopt (a child)
sieși	(to) himself/herself/itself/themselves (stressed reflexive-dative form of el, ea, ei and ele)
mămică	mommy, mummy, mom, mum
maică	mother
maică	nun, Mother
măicuță	mommy, mummy, mom, mum
măicuță	nun, sister
subestimat	underestimated, underrated
rememorat	remembered
panglică	ribbon, tape
panglică	hatband
panglică	taenia
panglicar	one who does tricks (e.g. with ribbons, etc.); by extension juggler, magician, conjurer, illusionist
panglicar	fibber, liar
panglicar	charlatan
scamator	conjurer, juggler, magician; one who does tricks
avânta	to rush at or to, dash towards
avânt	elan, ardor, zeal
avânt	liveliness, briskness
avânt	outburst
însufleți	to animate, enliven
vioiciune	liveliness, sprightliness, briskness, vivacity
Sfântul Andrei	Saint Andrew (the patron saint of Romania)
împleti	to knit
împleti	to plait (hair), weave, braid
Sfântul Nicolae	Saint Nicholas
oarfăn	destitute, deficient, deprived
oarfăn	poor, needy
oarfăn	sorrowful, miserable
încuraja	to encourage
îndrăzni	to dare, venture
îndrăzneț	bold, daring, courageous
îndrăzneț	cheeky, impudent, presumptuous
filieră	way, channel, intermediate
închipui	to imagine, envisage, fancy
omeni	to treat with hospitality, welcome; to feed or treat someone
omenos	humane
neomenesc	inhuman, cruel
inuman	inhuman
inuman	inhumane
inuman	inhumanely
bășica	to blister; form blisters
mumă	mother
mumă	queen bee
strâns	closely, tightly
strâns	grasp
strânsură	gathering
strânsură	harvest
strânsură	fodder
îmă	mother
restrânge	to restrict, restrain, limit
strâmtură	a narrow pass or strait, tight or narrow passage, enclosed area
strâmtoare	strait, narrow, narrows; narrow or tight passage
strâmtoare	gorge
strâmtoare	constraint
defileu	defile, narrow, strait, gorge
strâmta	to make narrow, tight
strâmta	to become narrower, tighter
strângător	thrifty, economical, frugal, sparing
culegător	one who gathers crops in the harvest
culegător	collector
adunător	collector or gatherer
adunător	thrifty, sparing, frugal, economic
mijloci	to mediate
mijloci	to intervene, intercede, interpose
mijloci	to act as a go-between or intermediary
astrânge	to gather, collect
colecționar	collector
pungaș	pickpocket, thief
culegere	collection; the act of collecting
colecție	collection
arăduce	to represent, symbolize
arăduce	to be like, seem like, come closer to in appearance or some other aspect
reprezenta	to represent
codi	to waver, to hesitate
întina	to desecrate, defile, stain
tină	mud, earth
glod	mud, earth
înțina	to cut down a tree incompletely, making it easier to take down afterward
înțina	to support lightly or incompletely; to leave in an unstable balance
doborî	to knock down, fell
doborî	to defeat (an opponent, enemy)
vădi	to show clearly, bring to light, make clear or apparent, indicate, betoken, bewray
însori	to become sunny
însorit	sunny
înnora	to become cloudy, cloud over
înnora	to cloud, becloud, darken
înnora	to sadden
însenina	to clear up, brighten, lighten
însenina	to brighten up, cheer up
lock-out	lockout
nemernic	infamous, ignoble, wicked, base, mean, foul, knavish, villainous, wretched
nemernic	rascal, knave, scoundrel, villain
străinătate	abroad, foreign countries
neguros	foggy, nebulous
neguros	dark, gloomy
înnegura	to darken, dim, cover with fog
înnegura	to become misty, foggy, enveloped in mist
înnegura	to become gloomy, sad
cețos	foggy, misty, dim, hazy
păduchios	lousy; infested with lice
păduchea	to delouse, get rid of lice (from the hair, body, etc.)
mâncărime	itchiness, itch
vorbăreț	talkative, chatty, loquacious
furnicel	boil, furuncle
furuncul	furuncle, boil, abscess
buboi	furuncle, boil, abscess
trânti	to slam
trânti	to throw down
locul	loculus
colțun	stocking
însuși	himself, itself
însuși	to appropriate
însuși	to assimilate
însăși	herself
sărutare	(act of) kissing
aproximat	approximate
incert	uncertain, doubtful, not sure
tartuferie	hypocrisy
decapitat	beheaded
concentrat	concentrate
concentrat	concentrated
concentrat	concise
îns	he, it
însumi	myself
însămi	myself
cotit	meandering
însuți	yourself, thyself
însăți	yourself, thyself
înșine	ourselves
înșivă	yourselves, thyselves
înșiși	themselves
însele	themselves
vorbire	speaking
vorbire	speech
taliban	Taliban
înecare	flooding
înecare	drowning
bulin	pill, tablet (such as for medicine)
bulin	spot, dot (design on clothing)
paramilitar	paramilitary
importun	importunate
scabros	scabrous
compartimenta	to compartmentalize
răsufla	to breathe
gâfâi	to pant, wheeze, gasp
pufăi	to puff
încorpora	to incorporate
pompos	pompous
scârțâi	to squeak, creak, screak
scârț	squeak, creak
contiguitate	contiguity
contrarietate	vexation, irritation
contrarietate	contrariety
erodat	eroded
fluiditate	fluidity
lubricitate	lubricity
râios	mangy
râios	scabby
biogen	biogenic
niscai	something, some (of an undetermined quantity)
slobod	free, unblocked
rigiditate	stiffness
vărgat	striped
vărgat	streaked
dungat	striped
vătămare	wound, injury, damage
frunzos	leafy
